2025-04-21 00:49:06,069 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-21 00:49:06,069 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-21 00:49:06,069 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-21 00:49:06,069 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-21 18:52:10,939 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-21 18:52:10,940 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-21 18:52:10,940 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-21 18:52:10,940 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-21 18:52:10,940 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-21 18:52:10,940 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-21 18:52:10,940 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-21 18:53:55,754 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:47:12,764 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-21 22:47:12,764 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-21 22:47:12,764 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-21 22:47:12,764 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-21 22:47:12,764 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-21 22:47:12,764 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-21 22:47:12,764 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-21 22:48:05,967 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 15:08:29,401 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-27 15:08:29,402 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-27 15:08:29,402 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-27 15:08:29,402 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-27 15:08:29,402 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-27 15:08:29,402 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-27 15:08:29,402 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-27 15:08:59,095 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 20:11:31,777 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-27 20:11:31,778 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-27 20:11:31,778 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-27 20:11:31,778 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-27 20:11:31,778 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-27 20:11:31,778 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-27 20:11:31,778 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-27 20:13:45,499 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 20:13:54,759 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 20:14:11,793 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 20:27:04,658 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 20:28:54,583 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 20:30:47,534 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 20:40:32,497 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-27 20:40:32,497 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-27 20:40:32,497 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-27 20:40:32,497 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-27 20:40:32,497 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-27 20:40:32,497 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-27 20:40:32,497 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-27 20:40:58,227 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 21:03:02,106 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 21:06:51,878 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 21:08:13,989 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 21:10:06,673 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 21:15:49,432 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-27 21:15:49,432 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-27 21:15:49,432 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-27 21:15:49,432 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-27 21:15:49,432 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-27 21:15:49,432 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-27 21:15:49,432 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-27 21:16:09,540 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 21:24:59,354 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 23:40:03,465 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-27 23:40:03,466 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-27 23:40:03,466 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-27 23:40:03,466 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-27 23:40:03,466 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-27 23:40:03,466 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-27 23:40:03,466 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-27 23:43:49,503 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 23:44:29,874 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-27 23:44:29,874 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2025-04-27 23:44:40,518 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-27 23:44:40,519 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-27 23:44:40,519 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-27 23:44:40,519 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-27 23:44:40,519 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-27 23:44:40,519 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-27 23:44:40,519 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-27 23:44:57,345 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 23:46:09,231 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-27 23:46:09,231 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2025-04-27 23:46:16,853 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-27 23:46:16,854 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-27 23:46:16,854 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-27 23:46:16,854 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-27 23:46:16,854 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-27 23:46:16,854 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-27 23:46:16,854 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-27 23:46:30,267 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-27 23:48:09,964 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
